#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      341.2   216.7   160.7   223.4   237.8   319.7   362.9   387.4   404.2   427.3   456.8   503.6   599.1  1792.0  9494.8  29986.0    30000  1715721091405  1715721101568
read      339.8   210.7   160.7   223.9   239.3   318.2   358.4   382.3   400.1   423.3   453.4   500.0   593.9  1986.9  9017.4  30062.3    30005  1715721103078  1715721113214
read      349.8   246.8   160.7   226.9   243.5   330.5   371.8   395.3   412.3   432.9   461.5   505.6   605.6  2078.6  9486.2  30082.7    30010  1715721114726  1715721124840
read      336.4   214.9   160.7   222.0   236.9   315.6   355.9   379.3   397.2   419.4   448.2   493.4   590.0  1730.0  8737.1  30125.6    30015  1715721126349  1715721136463
read      339.0   250.9   160.7   224.7   239.4   316.0   355.0   378.3   396.1   418.4   447.9   494.3   592.9  2604.5 10481.1  29941.4    30020  1715721137972  1715721148087
read      333.8   201.5   160.7   221.5   236.1   313.7   353.6   376.6   394.5   416.0   444.6   491.2   589.2  1450.5  8992.8  29983.6    30025  1715721149596  1715721159709
read      349.9   212.8   160.7   224.6   240.3   329.3   373.1   398.0   416.4   437.0   467.2   515.1   623.0  2382.1  8643.0  30036.5    30030  1715721161220  1715721171340
read      344.5   195.8   160.7   225.1   241.1   325.0   366.5   391.0   408.6   431.1   460.6   504.9   600.8  1614.6  8369.1  29937.5    30035  1715721172850  1715721182968
read      328.4   207.9   160.7   223.4   237.3   306.8   342.8   366.4   384.4   405.6   435.5   483.5   579.2  1385.3  8527.8  30016.0    30040  1715721184477  1715721194590
read      331.5   198.6   160.7   222.6   236.9   310.9   348.0   370.8   388.7   409.4   437.9   485.4   583.5  1790.7  8483.0  30022.2    30045  1715721196099  1715721206216
