Timestamp start: 1715974908540
Timestamp end: 1715975689136

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      482.2  1353.8   118.1   192.1   219.8   351.2   399.2   428.3   450.2   475.4   509.2   587.7  3035.6 27395.6 37031.8   7414.0     7434
read      423.9   718.7   101.3   164.4   182.6   322.1   405.2   459.2   501.1   553.3   628.3   807.6  2023.9  9797.7 30589.0  67090.2    67201
read      373.8   371.5   101.3   163.2   181.5   321.4   401.0   450.2   487.3   532.2   590.3   679.8  1032.2  4065.0 11461.4  86377.8    85927
read      384.3   463.5    93.8   161.4   178.7   325.2   405.7   454.4   491.0   535.0   592.8   678.4  1407.8  5124.9 15488.8  64121.0    63953
read      376.9   456.8   101.3   155.1   171.6   311.3   402.3   460.7   501.5   542.6   587.9   655.5  1208.6  4913.3 15836.9  31797.8    31595
read      398.0   459.1   101.3   165.7   184.6   328.3   409.8   459.7   498.7   546.3   611.9   722.8  1738.3  5479.9 12909.4  88091.5    87879
read      366.8   646.6   118.1   192.3   215.3   325.4   361.7   381.0   395.3   413.3   438.7   493.7  1235.7  7735.6 31773.0   7338.8     7287
read      423.7   569.5   101.3   163.6   181.8   322.0   407.9   465.4   511.7   574.3   662.3   998.1  1839.3  7143.1 26664.9  62258.5    62295
read      399.3   942.7   118.1   189.7   214.2   325.3   362.8   383.8   399.5   420.9   450.0   503.5  2357.0 10717.5 31730.6   6617.5     6561
read      553.6  1187.9   101.3   169.3   190.0   380.2   509.8   598.9   660.7   723.8   798.5   935.2  4533.5 14551.3 35418.8  22396.8    22532
read      390.1   462.8   101.3   159.9   177.4   319.5   400.1   452.0   492.5   542.9   610.4   733.2  1656.1  4108.8 18680.8  60692.5    60653
read      353.4   369.3   101.3   155.6   172.4   316.1   393.0   437.7   472.5   514.6   567.4   639.3   803.9  2516.4 12480.3  59121.0    59076
read      359.4   331.7   101.3   158.2   174.9   318.7   398.1   445.7   482.0   525.7   580.6   657.0   852.8  2736.8 12906.2  60126.0    60154
read      432.8   932.8   101.3   160.8   179.0   355.8   455.3   510.0   550.0   607.6   690.0   809.6  1132.3  8969.8 59910.7  22824.5    22964
read      535.1  2312.2   101.3   184.6   209.3   360.4   413.5   444.4   466.1   492.4   526.6   589.0  4189.4 43707.2 64744.2   8245.8     8172
read      489.2  1634.7   101.3   161.6   179.2   341.2   457.6   524.6   572.6   635.4   739.6   905.1  1688.5 13873.4 64779.4  27580.0    27652
read      362.8   340.2   101.3   154.6   171.4   315.1   401.0   460.1   503.9   548.0   596.7   660.9   913.0  3345.0 12275.9  37549.8    37594
read      441.7   718.0   101.3   161.6   179.9   353.1   466.1   529.9   578.2   641.6   730.8   854.8  1367.5 11514.9 25292.0  24385.5    24367
read      469.5  1327.1   101.3   157.8   175.6   323.6   430.9   502.4   552.0   614.1   723.1   970.0  2096.5 12742.9 63037.5  33797.8    33771
read      365.9   436.0   101.3   161.4   179.0   314.4   392.4   440.6   477.3   522.0   578.2   660.9   909.9  4641.8 14892.7  85019.2    84944
read      364.0   366.7    93.8   162.8   180.5   317.1   396.5   445.9   483.3   527.8   583.3   666.9   916.3  2600.7 16570.9  85569.0    85666
read      366.6   396.2   101.3   158.3   175.6   320.0   395.9   444.4   483.9   532.3   587.7   660.0   862.4  5727.4 16384.6  51923.2    51918
read      379.8   437.8   101.3   158.7   175.7   320.3   411.2   469.7   510.8   554.5   601.5   665.6  1055.1  5637.8 17696.8  34333.5    34406
read      386.2   470.0   101.3   161.7   178.9   325.8   424.9   482.2   519.7   558.5   601.1   670.1  1186.9  5385.5 12859.0  28687.2    28664
read      375.9   475.7    93.8   159.1   176.3   321.2   408.3   467.8   511.3   558.9   610.2   683.0  1082.9  3771.8 11390.2  38210.8    38289
read      372.6   549.1   101.3   163.2   180.4   328.4   412.5   453.0   479.0   506.6   539.3   585.6   777.1  8290.7 21708.5  20651.0    20658
read      373.9   476.4   109.4   178.5   197.4   350.7   409.3   438.3   459.1   482.5   510.1   563.1   746.2  7564.5 19299.0  13941.5    13840
read      350.3   181.0   101.3   162.1   180.1   312.8   390.4   436.9   471.8   513.8   568.9   650.9   822.0  1797.5  3036.7  93326.0    93419
read      335.4   157.3    93.8   159.9   177.3   303.2   375.3   419.6   452.7   491.9   541.5   616.1   757.2  1005.0  3012.4  98405.5    98284
read      345.3   192.5    93.8   158.6   175.4   312.3   391.5   436.8   471.6   513.6   565.8   635.1   767.1  1101.8  6701.0  71519.5    71313
read      346.1   253.8    93.8   155.1   171.7   310.8   390.3   443.7   484.9   530.6   578.6   637.2   738.7   937.2 10325.5  42128.2    42089
read      347.4   168.2    93.8   156.2   173.0   314.6   393.3   444.2   485.5   532.5   583.3   643.4   752.0   947.5  1596.3  46292.0    46458
read      348.7   204.5   101.3   154.7   171.0   311.9   405.0   462.1   499.7   536.5   576.2   625.6   712.6  1004.3  4671.1  30825.0    30755
read      349.9   224.4   101.3   156.2   173.2   314.3   393.8   447.5   488.2   533.6   584.3   643.2   746.7  1173.5  9099.9  43097.5    42889
read      357.2   383.0   101.3   164.1   182.2   315.7   390.7   435.9   471.3   514.8   570.8   653.2   834.5  2520.6 13827.9  93672.8    93552
read      355.5   225.6   101.3   162.3   179.3   319.6   399.0   446.2   481.7   523.9   575.7   645.3   788.7  2094.4  7937.8  65850.8    65694
read      397.6   613.4   101.3   162.0   179.8   322.5   420.7   481.4   521.8   564.4   616.8   731.8  1146.7  7414.1 31067.0  29657.5    29574
read      361.4   263.4   101.3   160.8   178.0   321.7   398.1   447.9   487.2   534.4   589.0   659.0   831.7  2621.5  9593.0  51397.8    51355
read      362.5   210.2   101.3   164.2   181.6   324.8   406.3   455.8   492.7   536.5   590.1   665.3   834.5  1960.7  6911.8  67175.0    67361
read      420.9   664.4   101.3   178.5   198.3   363.0   443.2   485.7   516.4   554.0   615.3   716.7  1202.7  7995.6 32150.2  16381.5    16287
read      412.4   501.0    93.8   169.9   189.2   336.9   421.5   473.9   516.2   567.3   633.6   749.1  1769.6  6585.8 16026.3  81518.0    81508
read      368.2   261.4   101.3   167.6   186.9   327.2   407.7   456.6   493.3   537.3   592.8   678.0   884.1  2080.1  7979.9  87455.8    87619
read      352.8   263.5   101.3   164.3   182.9   314.2   389.1   435.0   469.4   509.9   562.8   639.3   808.0  2035.6 11089.2  99053.5    99068
read      355.6   226.0   101.3   160.2   177.2   319.9   396.5   445.3   484.6   532.0   584.9   653.9   786.5  1667.7  9198.5  51694.8    51267
read      404.0   651.4   109.4   177.8   199.0   353.5   412.3   444.8   468.1   499.4   543.5   627.3  1425.2  8189.6 32161.2  11883.8    11822
read      444.1   653.1   101.3   172.0   195.7   360.9   439.9   492.4   536.3   593.1   675.8   804.9  1812.3  8740.2 30889.6  97311.2    97494
read      360.2   266.8    93.8   162.4   181.3   318.4   393.8   440.4   475.1   518.9   575.5   661.2   869.8  3271.2  8736.6  97241.5    97350
read      366.8   344.7   101.3   159.5   176.8   327.0   405.4   451.5   486.5   529.8   584.7   666.9   937.3  2837.8 13121.2  55512.2    55460
read      363.1   288.9   101.3   162.9   181.1   317.4   395.7   442.9   479.1   524.2   582.1   670.2   967.1  2587.4  8640.8  85867.8    85984
